county,2011-15,2006-2010,gini_change
Middlesex,0.429,0.407,0.0222
Essex,0.545,0.523,0.0217
Salem,0.430,0.408,0.0216
Burlington,0.426,0.405,0.0209
Sussex,0.406,0.386,0.0203
Camden,0.460,0.443,0.0171
Bergen,0.483,0.468,0.0152
Mercer,0.490,0.476,0.0141
Atlantic,0.457,0.445,0.0122
Ocean,0.438,0.426,0.0122
Gloucester,0.411,0.399,0.0117
Passaic,0.474,0.463,0.0111
Somerset,0.455,0.445,0.00980
Union,0.491,0.481,0.00950
Warren,0.412,0.404,0.00820
Monmouth,0.470,0.462,0.00750
Cumberland,0.440,0.433,0.00740
Hudson,0.495,0.488,0.00730
Morris,0.454,0.449,0.00460
Hunterdon,0.442,0.439,0.00310
Cape May,0.453,0.454,-0.00140
