county,2011-15,2006-2010,gini_change,county_upper
Middlesex,0.429,0.40700000000000003,0.0222,MIDDLESEX
Essex,0.545,0.523,0.0217,ESSEX
Salem,0.43,0.408,0.0216,SALEM
Burlington,0.426,0.405,0.0209,BURLINGTON
Sussex,0.406,0.386,0.0203,SUSSEX
Camden,0.46,0.44299999999999995,0.0171,CAMDEN
Bergen,0.483,0.46799999999999997,0.0152,BERGEN
Mercer,0.49,0.47600000000000003,0.0141,MERCER
Atlantic,0.457,0.445,0.0122,ATLANTIC
Ocean,0.43799999999999994,0.426,0.0122,OCEAN
Gloucester,0.41100000000000003,0.39899999999999997,0.0117,GLOUCESTER
Passaic,0.474,0.46299999999999997,0.0111,PASSAIC
Somerset,0.455,0.445,0.0098,SOMERSET
Union,0.491,0.48100000000000004,0.0095,UNION
Warren,0.41200000000000003,0.40399999999999997,0.0082,WARREN
Monmouth,0.47,0.462,0.0075,MONMOUTH
Cumberland,0.44,0.433,0.0074,CUMBERLAND
Hudson,0.495,0.488,0.0073,HUDSON
Morris,0.45399999999999996,0.449,0.0046,MORRIS
Hunterdon,0.442,0.439,0.0031,HUNTERDON
Cape May,0.45299999999999996,0.45399999999999996,-0.0014,CAPE MAY
